"","species","decimallongitude","decimallatitude"
"492","Sphyrna lewini",145.7835,-8.07983
"493","Sphyrna lewini",113.625,-22.75
"494","Sphyrna lewini",146.1064,-18.0054
"495","Sphyrna lewini",-72.2137,39.946
"496","Sphyrna lewini",-72.6543,40.501
"497","Sphyrna lewini",148.82976,-1.76371
"498","Sphyrna lewini",113.25,-22.75
"499","Sphyrna lewini",153.75402,-4.51969
"500","Sphyrna lewini",-71.6083335876,39.8249988556
"501","Sphyrna lewini",113.75,-22.15
"502","Sphyrna lewini",146.1467,-17.9818
"503","Sphyrna lewini",146.17637,-8.2928
"504","Sphyrna lewini",153.25,-32.25
"505","Sphyrna lewini",146.2065,-18.0376
"506","Sphyrna lewini",126.9086,-11.3954
"507","Sphyrna lewini",113.625,-22.775
"508","Sphyrna lewini",112.25,-24.25
"509","Sphyrna lewini",154.25,-28.75
"510","Sphyrna lewini",115.65424,-21.1158
"511","Sphyrna lewini",-82.8666687012,24.3250007629
"512","Sphyrna lewini",159.75,-27.25
"513","Sphyrna lewini",79,8.5
"514","Sphyrna lewini",146.1306,-17.8422
"515","Sphyrna lewini",153.75,-20.75
"516","Sphyrna lewini",145.99149,-8.13749
"517","Sphyrna lewini",113.75,-31.75
"518","Sphyrna lewini",151.97021,-3.60928
"519","Sphyrna lewini",-81.2340011597,31.2280006409
"520","Sphyrna lewini",-74.6166648865,35.7250003815
"521","Sphyrna lewini",145.7225,-8.05133
"522","Sphyrna lewini",-76.283996582,34.8650016785
"523","Sphyrna lewini",142.2515,-2.95017
"524","Sphyrna lewini",114.54077,-21.5589
"525","Sphyrna lewini",145.70066,-8.01999
"526","Sphyrna lewini",145.74333,-8.07369
"527","Sphyrna lewini",-90.4666633606,28.0583333969
"528","Sphyrna lewini",146.0944,-17.9984
"529","Sphyrna lewini",145.56075,0.70984
"530","Sphyrna lewini",113.75,-21.25
"531","Sphyrna lewini",-74.2916679382,37.8500003815
"532","Sphyrna lewini",146.1663,-17.8675
"533","Sphyrna lewini",114.75,-35.75
"534","Sphyrna lewini",-80.2740020752,32.4300003052
"535","Sphyrna lewini",127.0376,-11.8704
"536","Sphyrna lewini",115.25,-35.75
"537","Sphyrna lewini",114.25,-29.75
"538","Sphyrna lewini",112.75,-27.25
"539","Sphyrna lewini",153.75,-32.75
"540","Sphyrna lewini",118.89866,-17.6425
"541","Sphyrna lewini",-72.7957,40.5561
"542","Sphyrna lewini",-71.8383,40.2378
"543","Sphyrna lewini",-84.6166687012,25.4250001907
"544","Sphyrna lewini",13.37624222,-10.20863182
"545","Sphyrna lewini",-72.2843,39.5036
"546","Sphyrna lewini",155.75,-29.75
"547","Sphyrna lewini",148.25,-14.25
"548","Sphyrna lewini",113.675,-22.2
"549","Sphyrna lewini",-81.3679962158,30.2290000916
"550","Sphyrna lewini",146.1014,-17.9457
"551","Sphyrna lewini",112.25,-28.75
"552","Sphyrna lewini",113.625,-22.45
"553","Sphyrna lewini",146.1685,-18.0007
"554","Sphyrna lewini",146.1115,-17.9866
"555","Sphyrna lewini",-72.3067,39.2365
"556","Sphyrna lewini",153.75,-26.25
"557","Sphyrna lewini",144.64194,-8.04278
"558","Sphyrna lewini",-77.5579986572,34.4119987488
"559","Sphyrna lewini",155.25,-24.25
"560","Sphyrna lewini",113.625,-22.55
"561","Sphyrna lewini",146.1365,-18.0015
"562","Sphyrna lewini",150.75,-36.75
"563","Sphyrna lewini",153.25,-33.75
"564","Sphyrna lewini",-78.875,32.125
"565","Sphyrna lewini",155.75,-28.25
"566","Sphyrna lewini",146.13,-17.945
"567","Sphyrna lewini",146.7858,-19.1656
"568","Sphyrna lewini",145.695,-8.0511
"569","Sphyrna lewini",-71.8139,40.5032
"570","Sphyrna lewini",152.75,-33.75
"571","Sphyrna lewini",-72.0979,40.2826
"572","Sphyrna lewini",-72.1145,40.0024
"573","Sphyrna lewini",146.1197,-17.8671
"574","Sphyrna lewini",156.25,-27.25
"575","Sphyrna lewini",113.95,-21.9
"576","Sphyrna lewini",113.25,-28.75
"577","Sphyrna lewini",146.0871,-17.9982
"578","Sphyrna lewini",150.25,-37.25
"579","Sphyrna lewini",-78.6220016479,33.8079986572
"580","Sphyrna lewini",-79.1333312988,31.358332634
"581","Sphyrna lewini",145.68653,-8.04475
"582","Sphyrna lewini",146.33386,-1.94165
"583","Sphyrna lewini",146.1335,-17.9508
"584","Sphyrna lewini",146.1351,-17.9925
"585","Sphyrna lewini",146.9895,-19.2395
"586","Sphyrna lewini",-159.9980154,-0.38190448
"587","Sphyrna lewini",157.25,-29.25
"588","Sphyrna lewini",154.35479,-5.13349
"589","Sphyrna lewini",151.81339,-3.48782
"590","Sphyrna lewini",145.73367,-8.024
"591","Sphyrna lewini",114.75,-30.75
